epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.725,1.63672,2.3435,1.58654,0.6108,0.79529,0.69338,0.35244,1.45878,2.01361,1.39644,0.000466807,0.000466807,0.000466807
2,490.879,1.06923,1.15508,1.19794,0.99217,0.99173,0.99375,0.64984,1.36477,1.07872,1.25055,0.000924466,0.000924466,0.000924466
3,706.568,1.06321,0.95529,1.1646,0.95076,0.96472,0.99385,0.58972,1.38893,1.06108,1.39533,0.00136326,0.00136326,0.00136326
4,1080.05,0.96398,0.83678,1.116,0.99231,0.99734,0.99495,0.56137,1.6657,0.85054,1.3652,0.00134412,0.00134412,0.00134412
5,1348.92,0.89574,0.75205,1.07187,0.99901,0.99889,0.995,0.78176,1.03159,0.61038,1.01461,0.00131582,0.00131582,0.00131582
6,1614.4,0.73267,0.6643,1.00023,0.99936,0.99975,0.995,0.83608,0.74603,0.55601,0.93826,0.00128753,0.00128753,0.00128753
7,1878.1,0.7277,0.63605,0.99272,0.99959,1,0.995,0.74098,1.12177,0.56063,1.03167,0.00125923,0.00125923,0.00125923
8,2146.42,0.74918,0.62799,0.99959,0.99876,1,0.995,0.87492,0.67505,0.48083,0.87952,0.00123094,0.00123094,0.00123094
